full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
ding113/claude-code-hub,1302,1302,167,2,2,1,https://github.com/ding113/claude-code-hub
sugyan/claude-code-webui,892,892,201,0,0,0,https://github.com/sugyan/claude-code-webui
ghuntley/claude-code-source-code-deobfuscation,828,828,407,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
siteboon/claudecodeui,6034,6034,789,9,9,1,https://github.com/siteboon/claudecodeui
lst97/claude-code-sub-agents,1390,1390,224,1,1,1,https://github.com/lst97/claude-code-sub-agents
21st-dev/1code,4819,4819,482,5,5,1,https://github.com/21st-dev/1code
centminmod/my-claude-code-setup,1794,1794,176,0,0,0,https://github.com/centminmod/my-claude-code-setup
nishimoto265/Claude-Code-Communication,489,489,237,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
ykdojo/claude-code-tips,2038,2038,128,7,7,2,https://github.com/ykdojo/claude-code-tips
EveryInc/compound-engineering-plugin,7300,7300,582,37,37,1,https://github.com/EveryInc/compound-engineering-plugin
rizethereum/claude-code-requirements-builder,1737,1737,173,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
andrepimenta/claude-code-chat,989,989,149,0,0,0,https://github.com/andrepimenta/claude-code-chat
darcyegb/ClaudeCodeAgents,527,527,47,2,2,0,https://github.com/darcyegb/ClaudeCodeAgents
winfunc/opcode,20426,20426,1590,5,5,1,https://github.com/winfunc/opcode
steipete/claude-code-mcp,1074,1074,128,1,1,0,https://github.com/steipete/claude-code-mcp
zed-industries/claude-code-acp,890,890,139,4,4,0,https://github.com/zed-industries/claude-code-acp
slopus/happy,10459,10459,790,21,21,4,https://github.com/slopus/happy
Njengah/claude-code-cheat-sheet,1278,1278,155,2,2,0,https://github.com/Njengah/claude-code-cheat-sheet
peterkrueck/Claude-Code-Development-Kit,1300,1300,148,1,1,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
0xfurai/claude-code-subagents,683,683,134,1,1,0,https://github.com/0xfurai/claude-code-subagents
revfactory/claude-code-mastering,752,752,122,0,0,0,https://github.com/revfactory/claude-code-mastering
EnzeD/vibe-coding,3876,3876,1249,4,4,1,https://github.com/EnzeD/vibe-coding
catlog22/Claude-Code-Workflow,1257,1257,102,5,5,0,https://github.com/catlog22/Claude-Code-Workflow
JessyTsui/Claude-Code-Remote,1014,1014,110,3,3,0,https://github.com/JessyTsui/Claude-Code-Remote
disler/claude-code-hooks-multi-agent-observability,957,957,289,1,1,0,https://github.com/disler/claude-code-hooks-multi-agent-observability
wasabeef/claude-code-cookbook,995,995,107,0,0,0,https://github.com/wasabeef/claude-code-cookbook
simonw/claude-code-transcripts,964,964,108,2,2,0,https://github.com/simonw/claude-code-transcripts
bfly123/claude_code_bridge,1052,1052,101,6,6,1,https://github.com/bfly123/claude_code_bridge
obra/superpowers,45627,45627,3447,273,273,16,https://github.com/obra/superpowers
jarrodwatts/claude-code-config,913,913,108,0,0,0,https://github.com/jarrodwatts/claude-code-config
anthropics/claude-plugins-official,6668,6668,643,26,26,0,https://github.com/anthropics/claude-plugins-official
pchalasani/claude-code-tools,1368,1368,89,1,1,0,https://github.com/pchalasani/claude-code-tools
anthropics/claude-agent-sdk-python,4607,4607,606,14,14,3,https://github.com/anthropics/claude-agent-sdk-python
kepano/obsidian-skills,9181,9181,497,14,14,0,https://github.com/kepano/obsidian-skills
zhukunpenglinyutong/idea-claude-code-gui,1113,1113,121,4,4,0,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
jeremylongshore/claude-code-plugins-plus-skills,1288,1288,155,-1,-1,0,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
opactorai/Claudable,3726,3726,564,0,0,0,https://github.com/opactorai/Claudable
numman-ali/openskills,7951,7951,531,14,14,0,https://github.com/numman-ali/openskills
alirezarezvani/claude-code-tresor,497,497,117,0,0,0,https://github.com/alirezarezvani/claude-code-tresor
ComposioHQ/awesome-claude-skills,30947,30947,2971,138,138,18,https://github.com/ComposioHQ/awesome-claude-skills
anthropics/claude-agent-sdk-demos,1362,1362,214,1,1,0,https://github.com/anthropics/claude-agent-sdk-demos
upstash/context7,44877,44877,2144,25,25,3,https://github.com/upstash/context7
d-kimuson/claude-code-viewer,858,858,89,1,1,0,https://github.com/d-kimuson/claude-code-viewer
farion1231/cc-switch,16391,16391,1012,92,92,7,https://github.com/farion1231/cc-switch
ericbuess/claude-code-docs,664,664,97,1,1,0,https://github.com/ericbuess/claude-code-docs
zsio/claude-code-hub,158,158,21,0,0,0,https://github.com/zsio/claude-code-hub
kn1026/cc,703,703,269,0,0,0,https://github.com/kn1026/cc
lyconear/Claude-Code,4,4,145,0,0,0,https://github.com/lyconear/Claude-Code
greggh/claude-code.nvim,1797,1797,57,0,0,0,https://github.com/greggh/claude-code.nvim
severity1/claude-code-prompt-improver,1113,1113,96,1,1,0,https://github.com/severity1/claude-code-prompt-improver
superdesigndev/superdesign,5915,5915,679,1,1,0,https://github.com/superdesigndev/superdesign
alirezarezvani/claude-skills,1601,1601,195,5,5,0,https://github.com/alirezarezvani/claude-skills
browser-use/browser-use,77881,77881,9210,20,20,-1,https://github.com/browser-use/browser-use
BloopAI/vibe-kanban,20604,20604,1926,24,24,4,https://github.com/BloopAI/vibe-kanban
anomalyco/opencode,98685,98685,9351,235,235,25,https://github.com/anomalyco/opencode
manzaltu/claude-code-ide.el,1317,1317,76,0,0,0,https://github.com/manzaltu/claude-code-ide.el
gavrielc/nanoclaw,5430,5430,587,168,168,25,https://github.com/gavrielc/nanoclaw
Matt-Dionis/claude-code-configs,613,613,79,0,0,0,https://github.com/Matt-Dionis/claude-code-configs
cixingguangming55555/wechat-bot,2530,2530,668,0,0,0,https://github.com/cixingguangming55555/wechat-bot
MadAppGang/claude-code,224,224,21,0,0,0,https://github.com/MadAppGang/claude-code
laravel/claude-code,481,481,15,0,0,0,https://github.com/laravel/claude-code
OthmanAdi/planning-with-files,13166,13166,1216,42,42,6,https://github.com/OthmanAdi/planning-with-files
coleam00/context-engineering-intro,12332,12332,2588,0,0,-1,https://github.com/coleam00/context-engineering-intro
thedotmack/claude-mem,23888,23888,1577,178,178,8,https://github.com/thedotmack/claude-mem
carlvellotti/claude-code-pm-course,421,421,110,0,0,0,https://github.com/carlvellotti/claude-code-pm-course
PleasePrompto/notebooklm-skill,3284,3284,325,13,13,3,https://github.com/PleasePrompto/notebooklm-skill
